"binary", "filename", "configuration", "rate", "time"
"old", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='undefined' search='@'", 905664.2050713573, 0.001104162
"old", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='undefined' search='@'", 1060849.2522604044, 0.000942641
"old", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='utf8' search='@'", 1092355.3694182006, 0.000915453
"old", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='utf8' search='@'", 666012.198679431, 0.001501474
"old", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='ucs2' search='@'", 750304.623677213, 0.001332792
"old", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='ucs2' search='@'", 344158.257733236, 0.00290564
"old", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='binary' search='@'", 761710.924610423, 0.001312834
"old", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='binary' search='@'", 836859.3005195222, 0.001194944
"old", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='undefined' search='SQ'", 507581.7485785173, 0.001970126
"old", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='undefined' search='SQ'", 393277.9362032398, 0.002542731
"old", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='utf8' search='SQ'", 466250.8952017188, 0.002144768
"old", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='utf8' search='SQ'", 377319.76189613744, 0.002650272
"old", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='ucs2' search='SQ'", 302807.14334163425, 0.003302432
"old", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='ucs2' search='SQ'", 245301.9765452062, 0.004076608
"old", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='binary' search='SQ'", 459445.2290747968, 0.002176538
"old", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='binary' search='SQ'", 273381.05108452996, 0.003657898
"old", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='undefined' search='10x'", 708143.0788928042, 0.001412144
"old", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='undefined' search='10x'", 765669.815611395, 0.001306046
"old", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='utf8' search='10x'", 474432.8155689873, 0.00210778
"old", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='utf8' search='10x'", 814079.6707210548, 0.001228381
"old", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='ucs2' search='10x'", 893149.0111947297, 0.001119634
"old", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='ucs2' search='10x'", 741976.8191602159, 0.001347751
"old", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='binary' search='10x'", 1001979.9123067182, 0.000998024
"old", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='binary' search='10x'", 741939.9355105808, 0.001347818
"old", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='undefined' search='--l'", 115889.38497271617, 0.008628918
"old", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='undefined' search='--l'", 82542.35062290172, 0.012114993
"old", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='utf8' search='--l'", 88004.68044092457, 0.011363032
"old", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='utf8' search='--l'", 88349.56388446527, 0.011318675
"old", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='ucs2' search='--l'", 50420.51719753085, 0.019833196
"old", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='ucs2' search='--l'", 52941.12010386625, 0.018888909
"old", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='binary' search='--l'", 115021.28526394452, 0.008694043
"old", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='binary' search='--l'", 112255.59431367042, 0.008908242
"old", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='undefined' search='Alice'", 1281693.0652715012, 0.000780218
"old", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='undefined' search='Alice'", 1146815.2939287599, 0.00087198
"old", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='utf8' search='Alice'", 1167043.621756494, 0.000856866
"old", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='utf8' search='Alice'", 863797.3047796496, 0.001157679
"old", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='ucs2' search='Alice'", 950045.6496934679, 0.001052581
"old", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='ucs2' search='Alice'", 668965.2312010736, 0.001494846
"old", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='binary' search='Alice'", 604093.8230198409, 0.001655372
"old", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='binary' search='Alice'", 819684.224849219, 0.001219982
"old", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='undefined' search='Gryphon'", 196831.05931129996, 0.005080499
"old", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='undefined' search='Gryphon'", 198404.98266337262, 0.005040196
"old", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='utf8' search='Gryphon'", 196405.04140316474, 0.005091519
"old", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='utf8' search='Gryphon'", 205847.04411878527, 0.004857976
"old", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='ucs2' search='Gryphon'", 12411.646761653661, 0.080569486
"old", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='ucs2' search='Gryphon'", 32540.1561797336, 0.03073126
"old", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='binary' search='Gryphon'", 54104.15742838179, 0.018482868
"old", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='binary' search='Gryphon'", 88826.30779417098, 0.011257926
"old", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='undefined' search='Panther'", 101293.87734223099, 0.009872265
"old", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='undefined' search='Panther'", 114549.3873383293, 0.008729859
"old", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='utf8' search='Panther'", 86460.70343736632, 0.011565948
"old", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='utf8' search='Panther'", 128274.36347053986, 0.00779579
"old", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='ucs2' search='Panther'", 55362.17854158638, 0.018062873
"old", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='ucs2' search='Panther'", 56599.47629636573, 0.017668008
"old", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='binary' search='Panther'", 124171.52756806588, 0.008053376
"old", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='binary' search='Panther'", 29986.726675304446, 0.033348088
"old", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='undefined' search='Ou est ma chatte?'", 22758.220286236054, 0.043940167
"old", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='undefined' search='Ou est ma chatte?'", 45157.876678444896, 0.022144531
"old", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='utf8' search='Ou est ma chatte?'", 45843.691715476445, 0.021813252
"old", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='utf8' search='Ou est ma chatte?'", 39740.31295099046, 0.025163365
"old", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='ucs2' search='Ou est ma chatte?'", 10571.51703690357, 0.094593803
"old", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='ucs2' search='Ou est ma chatte?'", 45861.876045163495, 0.021804603
"old", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='binary' search='Ou est ma chatte?'", 42092.28455579781, 0.023757323
"old", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='binary' search='Ou est ma chatte?'", 50298.625454253175, 0.019881259
"old", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='undefined' search='found it very'", 8783.182390977057, 0.113853949
"old", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='undefined' search='found it very'", 9280.686990603972, 0.107750644
"old", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='utf8' search='found it very'", 7977.902550223509, 0.125346229
"old", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='utf8' search='found it very'", 9382.95774510711, 0.106576202
"old", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='ucs2' search='found it very'", 7556.113398220701, 0.13234317
"old", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='ucs2' search='found it very'", 8024.0411184605, 0.124625483
"old", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='binary' search='found it very'", 6131.393782180544, 0.163095054
"old", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='binary' search='found it very'", 8793.164081690395, 0.113724706
"old", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='undefined' search='among mad people'", 12753.70808004416, 0.078408569
"old", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='undefined' search='among mad people'", 16080.480877132342, 0.062187195
"old", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='utf8' search='among mad people'", 16649.675672642734, 0.06006123
"old", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='utf8' search='among mad people'", 13814.221486839026, 0.072389168
"old", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='ucs2' search='among mad people'", 13221.886580224089, 0.075632172
"old", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='ucs2' search='among mad people'", 12246.832708816304, 0.081653765
"old", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='binary' search='among mad people'", 14710.536723494204, 0.067978485
"old", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='binary' search='among mad people'", 3924.5686446752966, 0.254805073
"old", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='undefined' search='neighbouring pool'", 7407.166317860736, 0.135004394
"old", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='undefined' search='neighbouring pool'", 8832.726800288807, 0.113215321
"old", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='utf8' search='neighbouring pool'", 6780.83214711151, 0.147474525
"old", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='utf8' search='neighbouring pool'", 7787.301569724535, 0.128414187
"old", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='ucs2' search='neighbouring pool'", 4032.799988275844, 0.247966674
"old", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='ucs2' search='neighbouring pool'", 4818.636566494392, 0.207527583
"old", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='binary' search='neighbouring pool'", 5561.891322256512, 0.179794955
"old", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='binary' search='neighbouring pool'", 6488.567766497936, 0.154117216
"old", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='undefined' search='Soo--oop'", 7544.667714802084, 0.132543942
"old", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='undefined' search='Soo--oop'", 5486.605566290831, 0.182262054
"old", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='utf8' search='Soo--oop'", 4465.135704694571, 0.223957359
"old", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='utf8' search='Soo--oop'", 6023.854487867373, 0.166006666
"old", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='ucs2' search='Soo--oop'", 5414.540935943684, 0.184687864
"old", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='ucs2' search='Soo--oop'", 2606.671712123055, 0.383630971
"old", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='binary' search='Soo--oop'", 5148.500755807634, 0.194231301
"old", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='binary' search='Soo--oop'", 6869.862545042254, 0.14556332
"old", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='undefined' search='aaaaaaaaaaaaaaaaa'", 11934.67474621869, 0.083789464
"old", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='undefined' search='aaaaaaaaaaaaaaaaa'", 11961.513733869166, 0.083601459
"old", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='utf8' search='aaaaaaaaaaaaaaaaa'", 12155.342259552197, 0.082268354
"old", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='utf8' search='aaaaaaaaaaaaaaaaa'", 11893.819024886674, 0.084077284
"old", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='ucs2' search='aaaaaaaaaaaaaaaaa'", 10721.515538542368, 0.093270396
"old", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='ucs2' search='aaaaaaaaaaaaaaaaa'", 10729.49607784344, 0.093201022
"old", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='binary' search='aaaaaaaaaaaaaaaaa'", 12258.103939772993, 0.081578685
"old", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='binary' search='aaaaaaaaaaaaaaaaa'", 12288.872561073547, 0.08137443
"old", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='undefined' search='venture to go near the house till she had brought herself down to'", 42417.385461076345, 0.023575239
"old", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='undefined' search='venture to go near the house till she had brought herself down to'", 42199.50219779227, 0.023696962
"old", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='utf8' search='venture to go near the house till she had brought herself down to'", 43175.982064697055, 0.023161025
"old", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='utf8' search='venture to go near the house till she had brought herself down to'", 38372.929463878754, 0.026060038
"old", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='ucs2' search='venture to go near the house till she had brought herself down to'", 35152.877932721116, 0.028447173
"old", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='ucs2' search='venture to go near the house till she had brought herself down to'", 31258.876544098628, 0.031990913
"old", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='binary' search='venture to go near the house till she had brought herself down to'", 37593.95528296763, 0.026600021
"old", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='binary' search='venture to go near the house till she had brought herself down to'", 31853.810884816685, 0.031393418
"old", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='undefined' search='</i> to the Caterpillar'", 13639.149618661651, 0.073318354
"old", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='undefined' search='</i> to the Caterpillar'", 13270.390103686204, 0.075355735
"old", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='utf8' search='</i> to the Caterpillar'", 14217.204016792339, 0.070337318
"old", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='utf8' search='</i> to the Caterpillar'", 14531.40230953099, 0.068816483
"old", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='ucs2' search='</i> to the Caterpillar'", 13005.823630652922, 0.076888633
"old", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='ucs2' search='</i> to the Caterpillar'", 11652.561629233202, 0.08581804
"old", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='binary' search='</i> to the Caterpillar'", 13792.968372309733, 0.07250071
"old", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='binary' search='</i> to the Caterpillar'", 13920.145415407067, 0.07183833
"new", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='undefined' search='@'", 1190480.4421920555, 0.000839997
"new", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='undefined' search='@'", 914541.5768891685, 0.001093444
"new", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='utf8' search='@'", 971647.3308847821, 0.00102918
"new", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='utf8' search='@'", 807480.4993459408, 0.00123842
"new", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='ucs2' search='@'", 689253.5039925008, 0.001450845
"new", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='ucs2' search='@'", 579316.209904801, 0.001726173
"new", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='binary' search='@'", 821504.3552053391, 0.001217279
"new", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='binary' search='@'", 827708.3652345932, 0.001208155
"new", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='undefined' search='SQ'", 490974.65834300965, 0.002036765
"new", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='undefined' search='SQ'", 449383.2664051855, 0.002225272
"new", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='utf8' search='SQ'", 351086.98285326286, 0.002848297
"new", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='utf8' search='SQ'", 409881.757310651, 0.002439728
"new", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='ucs2' search='SQ'", 258932.39068133396, 0.003862012
"new", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='ucs2' search='SQ'", 298219.0359175007, 0.00335324
"new", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='binary' search='SQ'", 422836.7355481803, 0.002364979
"new", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='binary' search='SQ'", 327686.63720108423, 0.003051696
"new", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='undefined' search='10x'", 897677.3496255788, 0.001113986
"new", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='undefined' search='10x'", 767886.3773885106, 0.001302276
"new", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='utf8' search='10x'", 710511.3763529024, 0.001407437
"new", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='utf8' search='10x'", 690474.2176927114, 0.00144828
"new", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='ucs2' search='10x'", 897351.1092605738, 0.001114391
"new", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='ucs2' search='10x'", 697943.857396111, 0.00143278
"new", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='binary' search='10x'", 998907.1955280923, 0.001001094
"new", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='binary' search='10x'", 763938.438784849, 0.001309006
"new", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='undefined' search='--l'", 117614.14070109084, 0.008502379
"new", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='undefined' search='--l'", 109689.0053444871, 0.009116684
"new", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='utf8' search='--l'", 120352.61390231556, 0.008308918
"new", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='utf8' search='--l'", 85363.55612965392, 0.011714601
"new", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='ucs2' search='--l'", 51996.94257977631, 0.0192319
"new", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='ucs2' search='--l'", 52605.07152869391, 0.019009574
"new", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='binary' search='--l'", 117011.21985483823, 0.008546189
"new", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='binary' search='--l'", 103126.74090829496, 0.009696806
"new", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='undefined' search='Alice'", 1331884.2432766485, 0.000750816
"new", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='undefined' search='Alice'", 1180088.601052167, 0.000847394
"new", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='utf8' search='Alice'", 818677.6391301713, 0.001221482
"new", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='utf8' search='Alice'", 841376.8964635247, 0.001188528
"new", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='ucs2' search='Alice'", 1181798.4135538097, 0.000846168
"new", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='ucs2' search='Alice'", 605763.9652824557, 0.001650808
"new", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='binary' search='Alice'", 929189.273067356, 0.001076207
"new", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='binary' search='Alice'", 663001.5938558317, 0.001508292
"new", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='undefined' search='Gryphon'", 194001.73786756783, 0.005154593
"new", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='undefined' search='Gryphon'", 230564.98566346918, 0.004337172
"new", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='utf8' search='Gryphon'", 220888.98539283228, 0.004527161
"new", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='utf8' search='Gryphon'", 174328.6429630849, 0.005736292
"new", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='ucs2' search='Gryphon'", 111038.75085846834, 0.009005865
"new", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='ucs2' search='Gryphon'", 104760.30841434798, 0.0095456
"new", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='binary' search='Gryphon'", 223217.02610188295, 0.004479945
"new", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='binary' search='Gryphon'", 171693.00809412348, 0.005824349
"new", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='undefined' search='Panther'", 171770.77808039973, 0.005821712
"new", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='undefined' search='Panther'", 146528.62693152204, 0.006824605
"new", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='utf8' search='Panther'", 145086.43742139035, 0.006892443
"new", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='utf8' search='Panther'", 134246.17150055806, 0.007449002
"new", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='ucs2' search='Panther'", 78717.91192237091, 0.012703589
"new", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='ucs2' search='Panther'", 60706.79709724379, 0.01647262
"new", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='binary' search='Panther'", 178009.36400458412, 0.005617682
"new", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='binary' search='Panther'", 151600.98983318283, 0.006596263
"new", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='undefined' search='Ou est ma chatte?'", 43428.73888978859, 0.023026227
"new", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='undefined' search='Ou est ma chatte?'", 59499.92101385485, 0.016806745
"new", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='utf8' search='Ou est ma chatte?'", 55648.86324119347, 0.017969819
"new", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='utf8' search='Ou est ma chatte?'", 51334.24372903445, 0.019480174
"new", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='ucs2' search='Ou est ma chatte?'", 44817.5676260121, 0.022312679
"new", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='ucs2' search='Ou est ma chatte?'", 44240.589705825296, 0.022603677
